2019-06-30 19:55:02,393,2019-06-30_17_55_02,INFO,<class 'problems.network.Network'>,320631712,algorithms.genetic_algorithm,20,tournament_selection,one_point_crossover,0.4,bit_flip,0.6
2019-06-30 19:55:04,181,2019-06-30_17_55_02,INFO,0,1758.8533939999998,468032060.4626535,[648 1949 1953 1954 314 4458 1960 50 315 297 4282 311 1962 1963 4225 481
 4107 1495 1475 484 485 12 4065 4532 13 4639 4638 4513 3240 659 3240 5246
 5248 3211]
2019-06-30 19:55:17,912,2019-06-30_17_55_02,INFO,1,1572.824700499455,556250917.0445244,[648 1949 1953 1954 314 4458 1960 50 315 297 4282 311 1962 1963 4225 481
 4107 1495 1475 484 485 12 4065 4063 4064 322 3241 16 4514 17 5243 491
 5245 4923 3211]
2019-06-30 19:55:31,490,2019-06-30_17_55_02,INFO,2,1466.944645775405,556250920.5680224,[648 1949 1953 1954 314 4458 1960 50 315 297 4282 311 1962 1963 4225 481
 4107 1495 1475 484 485 12 4065 4063 4064 322 3241 16 4514 17 5243 491
 5244 18 4923 3211]
2019-06-30 19:55:47,603,2019-06-30_17_55_02,INFO,3,1389.314075731279,556251018.6964104,[648 1949 1953 1954 314 4458 1960 50 1959 1543 48 8516 315 297 4282 311
 1962 1963 4225 481 4107 1495 1475 484 485 12 4065 4063 4064 322 3241 16
 4514 17 5243 491 5245 4923 3211]
2019-06-30 19:55:52,922,2019-06-30_17_55_02,INFO,4,1264.3229469276391,298771794.14875877,[648 1949 1953 1954 314 4458 1960 50 315 297 4282 311 1962 1963 4225 481
 4107 1495 1475 484 485 12 4065 4063 4064 322 3241 16 4514 17 5243 491
 5245 4923 3211]
2019-06-30 19:56:05,755,2019-06-30_17_55_02,INFO,5,1194.54954271992,556251104.4068861,[648 1949 1953 1954 314 4458 1960 50 315 297 4282 311 1962 1963 4225 481
 482 4110 1495 1475 484 516 12 4065 4532 13 4064 322 3241 16 4514 17 5243
 491 5245 4923 3211]
2019-06-30 19:56:13,596,2019-06-30_17_55_02,INFO,6,1194.54954271992,516067357.7217739,[648 1949 1953 1954 314 4458 1960 50 315 297 4282 311 1962 1963 4225 481
 482 4110 1495 1475 484 516 12 4065 4532 13 4064 322 3241 16 4514 17 5243
 491 5245 4923 3211]
2019-06-30 19:56:20,880,2019-06-30_17_55_02,INFO,7,1194.54954271992,390960326.02298087,[648 1949 1953 1954 314 4458 1960 50 315 297 4282 311 1962 1963 4225 481
 482 4110 1495 1475 484 516 12 4065 4532 13 4064 322 3241 16 4514 17 5243
 491 5245 4923 3211]
2019-06-30 19:56:34,457,2019-06-30_17_55_02,INFO,8,1194.54954271992,600326302.3070068,[648 1949 1953 1954 314 4458 1960 50 315 297 4282 311 1962 1963 4225 481
 482 4110 1495 1475 484 516 12 4065 4532 13 4064 322 3241 16 4514 17 5243
 491 5245 4923 3211]
2019-06-30 19:56:42,444,2019-06-30_17_55_02,INFO,9,1166.03768641337,516067366.6543306,[648 1949 1953 1954 314 4458 1960 50 315 297 4282 311 1962 1963 4225 481
 4107 1495 1475 484 485 12 4065 4532 13 4064 322 3241 16 4514 17 5243 491
 5245 4923 3211]
2019-06-30 19:56:56,247,2019-06-30_17_55_02,INFO,10,1166.03768641337,584014567.0996068,[648 1949 1953 1954 314 4458 1960 50 315 297 4282 311 1962 1963 4225 481
 4107 1495 1475 484 485 12 4065 4532 13 4064 322 3241 16 4514 17 5243 491
 5245 4923 3211]
2019-06-30 19:57:05,174,2019-06-30_17_55_02,INFO,11,1151.717785361971,556251243.483912,[648 1949 1953 1954 314 4458 1960 50 315 297 4282 311 1962 1963 4225 481
 4107 1495 1475 484 516 12 4065 4532 13 4064 322 3241 16 4514 17 5243 491
 5245 4923 3211]
2019-06-30 19:57:15,430,2019-06-30_17_55_02,INFO,12,1151.717785361971,461854518.6906757,[648 1949 1953 1954 314 4458 1960 50 315 297 4282 311 1962 1963 4225 481
 4107 1495 1475 484 516 12 4065 4532 13 4064 322 3241 16 4514 17 5243 491
 5245 4923 3211]
